Posizione	Nome utente	Risposte date	Punteggio	Datetime
39	giuspeppe94	35	625836.385	2014-04-02T00:00:05.145768
40	tyler86	35	625754.109	2014-04-02T00:00:05.145768
41	luigi_rafaiani	35	625734.03	2014-04-02T00:00:05.145768
42	fabiocancro	35	625730.443	2014-04-02T00:00:05.145768
43	thisend	35	625699.981	2014-04-02T00:00:05.145768
44	pafnuty	35	625698.41	2014-04-02T00:00:05.145768
45	blucharming@libero.it	35	625671.304	2014-04-02T00:00:05.145768
46	silviasatta	35	625644.861	2014-04-02T00:00:05.145768
47	bucatino	35	625614.837	2014-04-02T00:00:05.145768
48	Liriel	35	625614.632	2014-04-02T00:00:05.145768
49	titicaca	35	625592.426	2014-04-02T00:00:05.145768
50	Elisabetta1990	35	625561.482	2014-04-02T00:00:05.145768
51	allerim3	35	625549.916	2014-04-02T00:00:05.145768
52	masifra	35	625542.888	2014-04-02T00:00:05.145768
53	SashaIr	35	625525.592	2014-04-02T00:00:05.145768
54	Rudi	35	625436.026	2014-04-02T00:00:05.145768
55	paolixd	35	625433.643	2014-04-02T00:00:05.145768
56	GirasoleRudi	35	625428.516	2014-04-02T00:00:05.145768
57	GianGian	35	625407.475	2014-04-02T00:00:05.145768
58	xXStephXx	35	625401.787	2014-04-02T00:00:05.145768
59	Apostata	35	625369.62	2014-04-02T00:00:05.145768
60	pablo1916	35	625322.005	2014-04-02T00:00:05.145768
61	Siriuccia	35	625294.737	2014-04-02T00:00:05.145768
62	pallocca	35	625290.721	2014-04-02T00:00:05.145768
63	PJP	35	625136.63	2014-04-02T00:00:05.145768
64	paola26	35	625132.446	2014-04-02T00:00:05.145768
65	rosgra	35	625038.299	2014-04-02T00:00:05.145768
66	filippo1999	35	625023.137	2014-04-02T00:00:05.145768
67	lux99	35	624993.673	2014-04-02T00:00:05.145768
68	matteo1977	35	624985.33	2014-04-02T00:00:05.145768
69	Teiolass	35	624977.095	2014-04-02T00:00:05.145768
70	abernabe	35	624948.46	2014-04-02T00:00:05.145768
71	Lux1999m	35	624927.675	2014-04-02T00:00:05.145768
72	marm8a	35	624926.743	2014-04-02T00:00:05.145768
73	Laurachiara	35	624850.657	2014-04-02T00:00:05.145768
74	Magic1	35	624811.742	2014-04-02T00:00:05.145768
75	Greta_V.	35	624685.853	2014-04-02T00:00:05.145768
76	msgamma	35	624660.062	2014-04-02T00:00:05.145768
77	gumares	35	624634.12	2014-04-02T00:00:05.145768
78	drumplayer96	35	624544.538	2014-04-02T00:00:05.145768
79	pepis8	35	624478.415	2014-04-02T00:00:05.145768
80	basket07	35	624430.31	2014-04-02T00:00:05.145768
81	gretac	35	624423.904	2014-04-02T00:00:05.145768
82	julian_	35	624393.506	2014-04-02T00:00:05.145768
83	WALler58	35	624326.912	2014-04-02T00:00:05.145768
84	giuspugl	35	624316.135	2014-04-02T00:00:05.145768
85	robpedro	35	624299.798	2014-04-02T00:00:05.145768
86	aquila91	35	624264.458	2014-04-02T00:00:05.145768
87	Alviani	35	624200.061	2014-04-02T00:00:05.145768
88	Lor95	35	624162.185	2014-04-02T00:00:05.145768
89	livio.barone	35	624068.921	2014-04-02T00:00:05.145768
90	Braciola	35	624057.766	2014-04-02T00:00:05.145768
91	last	35	624026.965	2014-04-02T00:00:05.145768
92	skokkia93	35	623962.438	2014-04-02T00:00:05.145768
93	Pedrodro	35	623656.418	2014-04-02T00:00:05.145768
94	okashii	35	623644.616	2014-04-02T00:00:05.145768
95	alibabà	35	623522.988	2014-04-02T00:00:05.145768
96	calomarco	35	623476.689	2014-04-02T00:00:05.145768
97	ander90	35	623453.33	2014-04-02T00:00:05.145768
98	Mufasa	35	623413.29	2014-04-02T00:00:05.145768
99	phyknight	35	623407.044	2014-04-02T00:00:05.145768
100	john_doe2266	35	623381.263	2014-04-02T00:00:05.145768
101	antogab	35	623307.277	2014-04-02T00:00:05.145768
102	Learts	35	623200.733	2014-04-02T00:00:05.145768
103	metta	35	623180.752	2014-04-02T00:00:05.145768
104	edge75	35	622761.914	2014-04-02T00:00:05.145768
105	caniorusso	35	622662.196	2014-04-02T00:00:05.145768
106	andrea.munerati	35	622657.932	2014-04-02T00:00:05.145768
107	pixel2	35	622392.696	2014-04-02T00:00:05.145768
108	Dariocrocia	35	622169.489	2014-04-02T00:00:05.145768
109	Gianni64	35	621864.734	2014-04-02T00:00:05.145768
110	joe2203	35	621262.195	2014-04-02T00:00:05.145768
111	Federica_dc	35	621216.992	2014-04-02T00:00:05.145768
112	mechiluca	35	621160.251	2014-04-02T00:00:05.145768
113	andrew24x	35	621029.502	2014-04-02T00:00:05.145768
114	caquelon	35	621005.538	2014-04-02T00:00:05.145768
115	sgueglia	35	620945.279	2014-04-02T00:00:05.145768
116	GRAPHIKER	35	620796.547	2014-04-02T00:00:05.145768
117	LauraElena	35	620770.055	2014-04-02T00:00:05.145768
118	TommyBra	35	620746.624	2014-04-02T00:00:05.145768
119	Iris2	35	620695.155	2014-04-02T00:00:05.145768
120	Buelon	35	620358.169	2014-04-02T00:00:05.145768
121	Sebmai73	35	620280.293	2014-04-02T00:00:05.145768
122	gaborone	35	620256.737	2014-04-02T00:00:05.145768
123	emeta5	35	620010.223	2014-04-02T00:00:05.145768
124	andrea.martino	35	619958.923	2014-04-02T00:00:05.145768
125	Dendi	35	619886.241	2014-04-02T00:00:05.145768
126	HeineCantor	35	619692.398	2014-04-02T00:00:05.145768
127	pdallaglio	35	619516.122	2014-04-02T00:00:05.145768
128	rossina	35	618818.738	2014-04-02T00:00:05.145768
129	elyswim	35	618740.69	2014-04-02T00:00:05.145768
130	disagiato	35	618618.231	2014-04-02T00:00:05.145768
131	alponte	35	618358.974	2014-04-02T00:00:05.145768
132	alexcol	35	617486.751	2014-04-02T00:00:05.145768
133	milizia96	35	617448.42	2014-04-02T00:00:05.145768
134	linacocco	35	617139.359	2014-04-02T00:00:05.145768
135	Leggio	35	616538.01	2014-04-02T00:00:05.145768
136	Roby66	35	616444.891	2014-04-02T00:00:05.145768
137	cri.mar	35	615811.209	2014-04-02T00:00:05.145768
138	velasco	35	615633.835	2014-04-02T00:00:05.145768
139	Lanera	35	615509.62	2014-04-02T00:00:05.145768
140	fede08	35	615425.668	2014-04-02T00:00:05.145768
141	barbuz	35	615399.602	2014-04-02T00:00:05.145768
142	silvye	35	615272.632	2014-04-02T00:00:05.145768
143	adf	35	615217.422	2014-04-02T00:00:05.145768
144	Arzigogolato	35	615203.314	2014-04-02T00:00:05.145768
145	fatamorgana	35	614926.279	2014-04-02T00:00:05.145768
146	It92	35	614846.273	2014-04-02T00:00:05.145768
147	tiztiz	35	614594.634	2014-04-02T00:00:05.145768
148	danimi	35	614515.103	2014-04-02T00:00:05.145768
149	gaeta73	35	614412.426	2014-04-02T00:00:05.145768
150	plezzani	35	614385.745	2014-04-02T00:00:05.145768
151	Jack00	35	614310.257	2014-04-02T00:00:05.145768
152	rosemarie	35	614228.416	2014-04-02T00:00:05.145768
153	sarako	35	613870.743	2014-04-02T00:00:05.145768
154	fefe59	35	613728.508	2014-04-02T00:00:05.145768
155	lele83	35	613505.865	2014-04-02T00:00:05.145768
156	anna65	35	613428.919	2014-04-02T00:00:05.145768
157	S_Mauro_S	35	613297.755	2014-04-02T00:00:05.145768
158	Civello	35	613244.968	2014-04-02T00:00:05.145768
159	Alexius88	35	612700.621	2014-04-02T00:00:05.145768
160	milored	35	612472.803	2014-04-02T00:00:05.145768
161	silvestra	35	612185.665	2014-04-02T00:00:05.145768
162	Salvatore64	35	612144.744	2014-04-02T00:00:05.145768
163	Giovalinda	35	611896.161	2014-04-02T00:00:05.145768
164	giobis	35	611771.041	2014-04-02T00:00:05.145768
165	zordanda	35	611610.219	2014-04-02T00:00:05.145768
166	LorenzoLomartire	35	611314.203	2014-04-02T00:00:05.145768
167	daniela.berger	35	611162.347	2014-04-02T00:00:05.145768
168	Ciccio83	35	610471.794	2014-04-02T00:00:05.145768
169	Roncallo	35	610384.169	2014-04-02T00:00:05.145768
170	armchen	35	610305.993	2014-04-02T00:00:05.145768
171	Vi08	35	608534.615	2014-04-02T00:00:05.145768
172	Lurens	35	607991.004	2014-04-02T00:00:05.145768
173	john1	35	607626.456	2014-04-02T00:00:05.145768
174	betto	35	607568.298	2014-04-02T00:00:05.145768
175	robygorny	35	607449.541	2014-04-02T00:00:05.145768
176	Fainzeke	35	607134.839	2014-04-02T00:00:05.145768
177	enrymather	35	607097.897	2014-04-02T00:00:05.145768
178	Adelia	35	606988.768	2014-04-02T00:00:05.145768
179	Pisius	35	606928.694	2014-04-02T00:00:05.145768
180	s22915	35	606540.507	2014-04-02T00:00:05.145768
181	rina	35	606432.066	2014-04-02T00:00:05.145768
182	robbis	35	605884.11	2014-04-02T00:00:05.145768
183	luxI	35	605477.907	2014-04-02T00:00:05.145768
184	ilpuglio	35	605332.745	2014-04-02T00:00:05.145768
185	valex88	35	605296.261	2014-04-02T00:00:05.145768
186	viaggitrice	35	605271.87	2014-04-02T00:00:05.145768
187	gbspeedy	35	605027.631	2014-04-02T00:00:05.145768
188	mathcla2010	35	604767.915	2014-04-02T00:00:05.145768
189	adaBTTLS	35	604652.648	2014-04-02T00:00:05.145768
190	puleo	35	604548.897	2014-04-02T00:00:05.145768
191	studentessa	35	604530.444	2014-04-02T00:00:05.145768
192	Colty92	35	604520.669	2014-04-02T00:00:05.145768
193	giorgiottomano	35	604519.13	2014-04-02T00:00:05.145768
194	classeVA	35	604504.933	2014-04-02T00:00:05.145768
195	elianto84	35	604401.595	2014-04-02T00:00:05.145768
196	jopaletta	35	604351.592	2014-04-02T00:00:05.145768
197	aldogaio	35	604323.698	2014-04-02T00:00:05.145768
198	falco	35	604268.613	2014-04-02T00:00:05.145768
199	Intrinseco	35	604122.003	2014-04-02T00:00:05.145768
200	giancarla	35	604025.496	2014-04-02T00:00:05.145768
201	mailrizzi	35	603939.858	2014-04-02T00:00:05.145768
202	stell1n@	35	603712.051	2014-04-02T00:00:05.145768
203	gravitation	35	603582.285	2014-04-02T00:00:05.145768
204	cosma	35	603536.228	2014-04-02T00:00:05.145768
205	big007	35	603427.901	2014-04-02T00:00:05.145768
206	amate	35	603325.343	2014-04-02T00:00:05.145768
207	blublu	35	603159.281	2014-04-02T00:00:05.145768
208	Francy10A	35	603152.807	2014-04-02T00:00:05.145768
209	f.desci	35	602564.472	2014-04-02T00:00:05.145768
210	marmi	35	602427.749	2014-04-02T00:00:05.145768
211	jacopus	35	602261.384	2014-04-02T00:00:05.145768
212	Loreamico	35	602160.824	2014-04-02T00:00:05.145768
213	Picia	35	602072.704	2014-04-02T00:00:05.145768
214	Yogurt	35	602051.972	2014-04-02T00:00:05.145768
215	cirillo	35	601753.743	2014-04-02T00:00:05.145768
216	alpa550	35	601652.559	2014-04-02T00:00:05.145768
217	pumba91	35	601395.665	2014-04-02T00:00:05.145768
218	pierre_80	35	601206.914	2014-04-02T00:00:05.145768
219	edogaldo	35	601146.986	2014-04-02T00:00:05.145768
220	Jan0	35	600982.348	2014-04-02T00:00:05.145768
221	giorgio.ballerini	35	600931.833	2014-04-02T00:00:05.145768
222	mardicesare	35	600788.337	2014-04-02T00:00:05.145768
223	pinopolizzi	35	600453.876	2014-04-02T00:00:05.145768
224	md1983	35	600378.919	2014-04-02T00:00:05.145768
225	momina1605	35	600359.29	2014-04-02T00:00:05.145768
226	verdet	35	600323.655	2014-04-02T00:00:05.145768
227	micaelac	35	600276.978	2014-04-02T00:00:05.145768
228	sergioc	35	600249.835	2014-04-02T00:00:05.145768
229	annanna	35	600103.418	2014-04-02T00:00:05.145768
230	gaudio	35	599926.722	2014-04-02T00:00:05.145768
231	gigisco	35	599611.303	2014-04-02T00:00:05.145768
232	tunibbacche	35	599572.157	2014-04-02T00:00:05.145768
233	Lolla_	35	599440.505	2014-04-02T00:00:05.145768
234	BlackTazz	35	599258.77	2014-04-02T00:00:05.145768
235	tagliamax	35	599249.074	2014-04-02T00:00:05.145768
236	jpgame64	35	599209.385	2014-04-02T00:00:05.145768
237	Cromax	35	599184.637	2014-04-02T00:00:05.145768
238	002copito	35	599109.152	2014-04-02T00:00:05.145768
239	gioser	35	599031.295	2014-04-02T00:00:05.145768
240	theras	35	599006.221	2014-04-02T00:00:05.145768
241	Silviona	35	598996.202	2014-04-02T00:00:05.145768
242	daliasort	35	598901.409	2014-04-02T00:00:05.145768
243	stregacate	35	598892.769	2014-04-02T00:00:05.145768
244	Serge	35	598874.418	2014-04-02T00:00:05.145768
245	pampuzz	35	598765.651	2014-04-02T00:00:05.145768
246	fdrcrc	35	598561.951	2014-04-02T00:00:05.145768
247	Axelloid	35	598561.602	2014-04-02T00:00:05.145768
248	polipo	35	598500.615	2014-04-02T00:00:05.145768
249	80vale	35	598359.226	2014-04-02T00:00:05.145768
250	sbress	35	598332.514	2014-04-02T00:00:05.145768
251	sergioconiglio	35	598266.203	2014-04-02T00:00:05.145768
252	paoloxyz	35	598203.478	2014-04-02T00:00:05.145768
253	sabrinat	35	598124.732	2014-04-02T00:00:05.145768
254	ALsettimo	35	598053.674	2014-04-02T00:00:05.145768
255	mauro742	35	597898.302	2014-04-02T00:00:05.145768
256	al_fa	35	597809.171	2014-04-02T00:00:05.145768
257	lfganda	35	597802.682	2014-04-02T00:00:05.145768
258	silviagbel	35	597790.667	2014-04-02T00:00:05.145768
259	C91	35	597535.378	2014-04-02T00:00:05.145768
260	scotty	35	597362.516	2014-04-02T00:00:05.145768
261	pimpinea	35	597240.544	2014-04-02T00:00:05.145768
262	Baby02	35	597095.579	2014-04-02T00:00:05.145768
263	francy2208	35	596822.703	2014-04-02T00:00:05.145768
264	Ipotenusa	35	595398.449	2014-04-02T00:00:05.145768
265	marais	34	595043.155	2014-04-02T00:00:05.145768
266	crtpla	34	594912.469	2014-04-02T00:00:05.145768
267	siderone	35	594803.38	2014-04-02T00:00:05.145768
268	zandoa	35	594478.004	2014-04-02T00:00:05.145768
269	FRIPPO	35	594027.03	2014-04-02T00:00:05.145768
270	filocolo	35	593904.974	2014-04-02T00:00:05.145768
271	parmigio	35	593895.492	2014-04-02T00:00:05.145768
272	lav	35	593876.393	2014-04-02T00:00:05.145768
273	pigreco33	35	593865.519	2014-04-02T00:00:05.145768
274	akiross	34	593779.358	2014-04-02T00:00:05.145768
275	veciorik	35	593288.086	2014-04-02T00:00:05.145768
276	Aestmanindel	35	593274.792	2014-04-02T00:00:05.145768
277	maribrenta	35	593218.385	2014-04-02T00:00:05.145768
278	ZioPaolo	35	593074.18	2014-04-02T00:00:05.145768
279	ntn91	35	592810.026	2014-04-02T00:00:05.145768
280	civa92	35	592681.119	2014-04-02T00:00:05.145768
281	giuggigirl	35	592594.677	2014-04-02T00:00:05.145768
282	vcrcristina	35	592540.134	2014-04-02T00:00:05.145768
283	domeci	35	592452.532	2014-04-02T00:00:05.145768
284	e^jpigreca	35	592449.015	2014-04-02T00:00:05.145768
285	matste	35	592017.303	2014-04-02T00:00:05.145768
286	Angel_Eyes	35	591755.741	2014-04-02T00:00:05.145768
287	superpippone	34	591752.791	2014-04-02T00:00:05.145768
288	zurlo	34	591748.361	2014-04-02T00:00:05.145768
289	Mystra	35	591602.072	2014-04-02T00:00:05.145768
290	zipangulu	35	591599.455	2014-04-02T00:00:05.145768
291	ColomboClasse1B	35	591573.287	2014-04-02T00:00:05.145768
292	Shuty	35	591432.055	2014-04-02T00:00:05.145768
293	Son.sveglia.ma.non.mi.applico	35	591400.508	2014-04-02T00:00:05.145768
294	ema60	35	591266.851	2014-04-02T00:00:05.145768
295	Zievatron	35	591087.183	2014-04-02T00:00:05.145768
296	RispostaErrata	35	590796.168	2014-04-02T00:00:05.145768
297	Maryana67	35	590730.963	2014-04-02T00:00:05.145768
298	assianir	35	590362.782	2014-04-02T00:00:05.145768
299	D Auria	35	590182.434	2014-04-02T00:00:05.145768
300	stelvio.andreatta	35	590182.336	2014-04-02T00:00:05.145768
301	Nicole93	35	590138.219	2014-04-02T00:00:05.145768
302	GDM	35	589625.433	2014-04-02T00:00:05.145768
303	Taina	34	589312.654	2014-04-02T00:00:05.145768
304	lambo85	35	589115.628	2014-04-02T00:00:05.145768
305	_beppe_	35	588365.444	2014-04-02T00:00:05.145768
306	zamarugle	35	588357.686	2014-04-02T00:00:05.145768
307	ostrogoto	35	587873.934	2014-04-02T00:00:05.145768
308	matrix10	35	587847.019	2014-04-02T00:00:05.145768
309	Kurjak	35	587708.535	2014-04-02T00:00:05.145768
310	bobbygol	35	587530.3	2014-04-02T00:00:05.145768
311	fcafass78	35	587061.665	2014-04-02T00:00:05.145768
312	remo.tomasi	34	586765.731	2014-04-02T00:00:05.145768
313	Gi8	34	586608.509	2014-04-02T00:00:05.145768
314	omobon	35	586310.825	2014-04-02T00:00:05.145768
315	Hazazelt	35	586178.57	2014-04-02T00:00:05.145768
316	SCIOKA	35	585579.711	2014-04-02T00:00:05.145768
317	laerte	35	584949.779	2014-04-02T00:00:05.145768
318	andregi	35	584862.193	2014-04-02T00:00:05.145768
319	Villa2000	35	584519.429	2014-04-02T00:00:05.145768
320	Silver Test	35	584319.615	2014-04-02T00:00:05.145768
321	Meringolo	35	584039.271	2014-04-02T00:00:05.145768
322	Antoberna62	35	583815.224	2014-04-02T00:00:05.145768
323	mario.cappellato	35	583637.251	2014-04-02T00:00:05.145768
324	stef borg	35	583250.842	2014-04-02T00:00:05.145768
325	Adelebancheri	35	582828.065	2014-04-02T00:00:05.145768
326	vinciogabri	35	582753.513	2014-04-02T00:00:05.145768
327	OffRoad	35	582591.278	2014-04-02T00:00:05.145768
328	doremifa	35	582587.238	2014-04-02T00:00:05.145768
329	terry62	35	582503.773	2014-04-02T00:00:05.145768
330	mussee76	35	582286.304	2014-04-02T00:00:05.145768
331	NodoAllaGola	35	582233.879	2014-04-02T00:00:05.145768
332	drake53	35	582216.888	2014-04-02T00:00:05.145768
333	dino.dp	35	582075.627	2014-04-02T00:00:05.145768
334	ettanic	34	581751.772	2014-04-02T00:00:05.145768
335	lorven	35	581510.082	2014-04-02T00:00:05.145768
336	bancolotto	35	581423.864	2014-04-02T00:00:05.145768
337	1adonbosco	35	581394.658	2014-04-02T00:00:05.145768
338	melusina89	35	581208.88	2014-04-02T00:00:05.145768
339	fodom2014	35	581043.671	2014-04-02T00:00:05.145768
340	Pscida66	35	580936.184	2014-04-02T00:00:05.145768
341	grifo	35	580687.065	2014-04-02T00:00:05.145768
342	pizzul	35	580605.86	2014-04-02T00:00:05.145768
343	danysquare	35	580408.55	2014-04-02T00:00:05.145768
344	bridge	35	580336.886	2014-04-02T00:00:05.145768
345	spaceman70	35	579874.069	2014-04-02T00:00:05.145768
346	miko	35	579767.653	2014-04-02T00:00:05.145768
347	Denno	35	579516.41	2014-04-02T00:00:05.145768
348	carletto	35	579497.942	2014-04-02T00:00:05.145768
349	antonio1950	35	579278.389	2014-04-02T00:00:05.145768
350	graizzaro	35	579186.557	2014-04-02T00:00:05.145768
351	Sandro49	35	579149.861	2014-04-02T00:00:05.145768
352	masquin	35	579113.134	2014-04-02T00:00:05.145768
353	dezinho	35	578908.124	2014-04-02T00:00:05.145768
354	giorgio0609	35	578729.415	2014-04-02T00:00:05.145768
355	adriano	35	578606.924	2014-04-02T00:00:05.145768
356	farfromhere	35	578169.707	2014-04-02T00:00:05.145768
357	marco27	35	577779.789	2014-04-02T00:00:05.145768
358	MiceneSagitter	35	577325.957	2014-04-02T00:00:05.145768
359	Vitamina	35	577311.417	2014-04-02T00:00:05.145768
360	petaloblu	35	577146.764	2014-04-02T00:00:05.145768
361	Supermiki	35	577145.443	2014-04-02T00:00:05.145768
362	martina.physics	35	576901.354	2014-04-02T00:00:05.145768
363	g.schgor	35	576855.483	2014-04-02T00:00:05.145768
364	Giorgio902	35	576790.633	2014-04-02T00:00:05.145768
365	sanguane	35	576702.555	2014-04-02T00:00:05.145768
366	laura123	35	576651.074	2014-04-02T00:00:05.145768
367	maxt	35	576512.166	2014-04-02T00:00:05.145768
368	leppie	34	576358.256	2014-04-02T00:00:05.145768
369	gigheus	35	576297.909	2014-04-02T00:00:05.145768
370	nicole64	35	576214.627	2014-04-02T00:00:05.145768
371	Denny	35	576204.7	2014-04-02T00:00:05.145768
372	cascavilla	35	576196.194	2014-04-02T00:00:05.145768
373	kls61	35	576172.979	2014-04-02T00:00:05.145768
374	batcade47	35	576031.296	2014-04-02T00:00:05.145768
375	Lazzarettians	35	576001.984	2014-04-02T00:00:05.145768
376	grifopazzo	34	575970.909	2014-04-02T00:00:05.145768
377	chiaramodi	35	575794.579	2014-04-02T00:00:05.145768
378	AsgardG	35	575649.806	2014-04-02T00:00:05.145768
379	MQCpower	35	575624.229	2014-04-02T00:00:05.145768
380	nardo81	35	575493.723	2014-04-02T00:00:05.145768
381	WDMOON	35	575232.262	2014-04-02T00:00:05.145768
382	Fable92	35	575221.728	2014-04-02T00:00:05.145768
383	gerrymast	35	574896.467	2014-04-02T00:00:05.145768
384	romeovs	35	574885.404	2014-04-02T00:00:05.145768
385	silvio19	35	574868.771	2014-04-02T00:00:05.145768
386	Sebmai	35	573757.549	2014-04-02T00:00:05.145768
387	wish	35	573713.512	2014-04-02T00:00:05.145768
388	Abel64	34	573627.061	2014-04-02T00:00:05.145768
389	edge	35	573582.841	2014-04-02T00:00:05.145768
390	Tebaldo	34	573082.872	2014-04-02T00:00:05.145768
391	batman69	35	572877.771	2014-04-02T00:00:05.145768
392	Arkhe	35	572228.168	2014-04-02T00:00:05.145768
393	riccardop91	35	572085.72	2014-04-02T00:00:05.145768
394	dfandrea	35	571834.594	2014-04-02T00:00:05.145768
395	Godzilla	35	571207.125	2014-04-02T00:00:05.145768
396	francescop21	35	571110.325	2014-04-02T00:00:05.145768
397	Sirol	35	570563.987	2014-04-02T00:00:05.145768
398	Alban3s3	35	570443.109	2014-04-02T00:00:05.145768
399	c000	35	570435.936	2014-04-02T00:00:05.145768
400	Manu4	35	570332.468	2014-04-02T00:00:05.145768
401	sarako2	35	569978.158	2014-04-02T00:00:05.145768
402	ema1979	35	569904.598	2014-04-02T00:00:05.145768
403	daleoe	35	569803.866	2014-04-02T00:00:05.145768
404	orasonoalladucati	35	569622.759	2014-04-02T00:00:05.145768
405	medio70	34	569179.629	2014-04-02T00:00:05.145768
406	valmilano	34	568939.909	2014-04-02T00:00:05.145768
407	giuggi76	34	568674.802	2014-04-02T00:00:05.145768
408	ultras96	35	568441.503	2014-04-02T00:00:05.145768
409	Oznerol.92	34	567816.061	2014-04-02T00:00:05.145768
410	PiolaLagrange	34	567694.5	2014-04-02T00:00:05.145768
411	Forna	35	567677.233	2014-04-02T00:00:05.145768
412	Simo69	35	567669.03	2014-04-02T00:00:05.145768
413	bomber008	35	567591.092	2014-04-02T00:00:05.145768
414	jacob.bi	35	567479.595	2014-04-02T00:00:05.145768
415	Udx	34	567165.978	2014-04-02T00:00:05.145768
416	eman	35	567118.04	2014-04-02T00:00:05.145768
417	fabiolous	35	567049.81	2014-04-02T00:00:05.145768
418	liucizan	35	566963.914	2014-04-02T00:00:05.145768
419	clara59	35	566879.846	2014-04-02T00:00:05.145768
420	mariabagnato	35	566855.108	2014-04-02T00:00:05.145768
421	DeMaMi	35	566807.08	2014-04-02T00:00:05.145768
422	00mik	35	566643.244	2014-04-02T00:00:05.145768
423	Alby78	35	566508.267	2014-04-02T00:00:05.145768
424	alby2001	35	565263.474	2014-04-02T00:00:05.145768
425	lubrecco	34	564693.025	2014-04-02T00:00:05.145768
426	ShuHe	35	564015.073	2014-04-02T00:00:05.145768
427	etboys1969	35	563617.898	2014-04-02T00:00:05.145768
428	ivan jojo	35	563539.545	2014-04-02T00:00:05.145768
429	aragusa79	35	563531.4	2014-04-02T00:00:05.145768
430	rosso13	35	563261.118	2014-04-02T00:00:05.145768
431	mazurca	35	563119.858	2014-04-02T00:00:05.145768
432	fenner	35	562793.377	2014-04-02T00:00:05.145768
433	pandini	35	561962.357	2014-04-02T00:00:05.145768
434	Alpe	35	561691.134	2014-04-02T00:00:05.145768
435	fcsale	35	561403.357	2014-04-02T00:00:05.145768
436	diego@65	35	561161.22	2014-04-02T00:00:05.145768
437	luisades	35	561123.59	2014-04-02T00:00:05.145768
438	mcostanzo	35	561063.877	2014-04-02T00:00:05.145768
439	mimmo72	33	560772.508	2014-04-02T00:00:05.145768
440	stoupa09	33	560761.277	2014-04-02T00:00:05.145768
441	beginner	35	560548.944	2014-04-02T00:00:05.145768
442	Piergiorgio98	34	560482.928	2014-04-02T00:00:05.145768
443	Speello	34	560447.609	2014-04-02T00:00:05.145768
444	Evandro	35	560154.63	2014-04-02T00:00:05.145768
445	1paola	35	559199.019	2014-04-02T00:00:05.145768
446	claudio61	35	559069.289	2014-04-02T00:00:05.145768
447	Cata91	35	558874.221	2014-04-02T00:00:05.145768
448	arizi	35	558359.026	2014-04-02T00:00:05.145768
449	an1	35	558226.633	2014-04-02T00:00:05.145768
450	Anders	35	557879.409	2014-04-02T00:00:05.145768
451	mipiacelamatematica	35	557711.626	2014-04-02T00:00:05.145768
452	fabrix91	34	557638.501	2014-04-02T00:00:05.145768
453	Robby	35	557619.108	2014-04-02T00:00:05.145768
454	vagina_seminova	35	557595.185	2014-04-02T00:00:05.145768
455	serios	35	557298.368	2014-04-02T00:00:05.145768
456	consolata	35	557253.09	2014-04-02T00:00:05.145768
457	Drake55	35	557216.976	2014-04-02T00:00:05.145768
